,number_of_reviews
0,1.0010339902710554
1,1.003939245976282
2,0.8887544021337761
3,1.0042871442435044
4,0.9684658296763325
5,1.0075464016943256
6,0.8948517770277281
7,1.0083459573611
8,1.007912610396665
9,1.0078881964831756
10,1.0075402982159531
11,1.0070581234245397
12,1.0068628121166252
13,1.0067041216789447
14,1.0066980182005725
15,1.0064416721089349
16,1.0055505642665754
17,1.004842560775386
18,1.0041406607625685
19,1.0037134172765059
20,1.007143572121752
21,1.006728535592434
22,1.006649190373594
23,0.8674776765278532
24,0.993856299705202
25,1.005654323398905
26,1.0027429642153063
27,1.0018640633296916
28,1.0083581643178448
29,0.9871180595821559
30,0.939462100451047
31,0.01
32,0.9802089220646847
33,0.9877650282896223
34,1.0075402982159531
35,1.0048730781672475
36,1.0089929260685664
37,0.9492215623683937
38,0.995229582338975
39,0.8310154967315874
40,1.008455819971802
41,0.9927698805549283
42,0.997524490206969
43,0.8118505746424888
44,0.9726650227964917
45,0.9828761421133905
46,1.0098352060839473
47,0.2573922888654244
48,1.009755860865107
49,1.008046886920856
50,1.0091516165062469
51,0.8917878308848213
52,1.001101128533151
53,1.0099572756513937
54,1.009682619124639
55,1.0099206547811597
56,1.0089379947632156
57,1.0070520199461672
58,1.009438479989746
59,1.009188237376481
60,1.008797614760652
61,1.0058740486203086
62,1.0091149956360128
63,1.008590096495993
64,1.005202665999353
65,1.0089379947632156
66,0.9857325699916383
67,0.8087255937158586
68,1.0054345981775012
69,0.9581387442703597
70,1.0080590938776008
71,0.8873139812379075
72,0.9902369370304136
73,1.0099084478244151
74,1.0098657234758088
75,1.0097985852137132
76,1.0099938965216275
77,1.0088464425876307
78,0.997713698036511
79,1.0087060625850672
80,1.0053247355667996
81,0.9205169035833521
82,1.0022913068157542
83,1.0073816077782727
84,0.7737770765559292
85,0.905160551998584
86,1.0061670155821802
87,1.009963379129766
88,1.008663338236461
89,1.0098046886920855
90,0.985952295213042
91,1.0072778486459433
92,1.0057214616610006
93,1.0094445834681185
94,1.0094140660762567
95,1.007686781696889
96,1.0098291026055748
97,1.0095605495571927
98,1.0046411459890991
99,1.0099877930432553
100,0.9967432449753114
101,1.0069055364652315
102,1.009792481735341
103,0.9957788953924842
104,1.0079919556155053
105,1.0092431686818317
106,0.9920984979339725
107,0.9930445370816828
108,1.0084619234501742
109,1.0098474130406918
110,1.0094812043383523
111,0.9996973285075165
112,1.00939575564114
113,1.0088281321525137
114,1.0059106694905426
115,1.0012842328843208
116,1.0086267173662269
117,0.9917383927100054
118,0.9612271043267558
119,1.0092797895520658
120,1.0026697224748384
121,0.9916224266209313
122,1.009755860865107
123,1.0097192399948731
124,0.7671059746949787
125,1.009700929559756
126,0.9879176152489304
127,0.9635464261082392
128,0.9391691334891755
129,0.8048498849494327
130,0.6322679304935883
131,1.008065197355973
132,0.9985620815302642
133,0.768070324277806
134,0.990713008343455
135,0.978182567245073
136,1.0091577199846191
137,1.0088159251957691
138,1.0088098217173966
139,1.0091333060711298
140,1.0085229582338975
141,1.0083459573611
142,1.0081628530099302
143,1.0076257469131658
144,1.0075036773457193
145,1.0073022625594326
146,1.0065820521114983
147,1.0060449460147338
148,0.9560696651021418
149,1.0056787373123943
150,1.0054040807856397
151,1.0047937329484073
152,1.0036645894495273
153,1.0023889624697115
154,1.0014124059301395
155,1.001082818098034
156,1.0002832624312594
157,0.9993067058916877
158,0.9985254606600301
159,0.9944300266722005
160,0.9932703657814589
161,0.9920740840204832
162,1.0044580416379294
163,0.9871729908875068
164,0.9859461917346696
165,0.9856410178160534
166,0.9581326407919873
167,1.0003992285203336
168,0.9479337284318333
169,0.9378751960742427
170,0.9212127001177971
171,0.92111504446384
172,0.9012787397537857
173,1.0075158843024639
174,1.0084130956231956
175,0.8902985821619741
176,0.998165355436063
177,0.7269389835267119
178,0.8812715376493063
179,0.7408060863886329
180,1.0002039172124193
181,1.0081628530099302
182,1.007570815607815
183,0.9871851978442514
184,0.9631313895789211
185,1.0071862964703584
186,0.9859339847779249
187,1.009664308689522
188,1.0086572347580887
189,0.8526218101696157
190,1.0082971295341214
191,1.0085107512771527
192,1.008663338236461
193,0.986294090001892
194,1.0082544051855151
195,1.0081994738801643
196,1.0079980590938775
197,1.007985852137133
198,1.0078210582210803
199,0.9694973175212553
200,1.0066247764601046
201,1.0064172581954456
202,0.9933191936084375
203,1.0091516165062469
204,0.9897120378903937
205,1.009700929559756
206,1.0054773225261076
207,1.0092553756385765
208,1.0044580416379294
209,1.0040491085869836
210,1.0028589303043804
211,1.0022180650752863
212,0.9084381198845222
213,1.0020105468106273
214,0.9030609554385044
215,0.9408964178685433
216,1.0000574337314836
217,1.0077295060454954
218,0.8498264170750911
219,0.9990381528433054
220,0.9989954284946991
221,0.9872279221928577
222,0.9862818830451474
223,0.9854823273783729
224,0.9766139733033856
225,0.9399992065478115
226,1.0098901373892981
227,0.9326628255442777
228,1.0097192399948731
229,0.964541293082928
230,0.9934473666542563
231,0.9174590609188177
232,0.9921717396744405
233,0.9778834968048291
234,1.009963379129766
235,0.7613076702412704
236,0.9289397037371598
237,0.9287199785157562
238,1.0071801929919861
239,1.0098901373892981
240,1.00939575564114
241,1.001326957232927
242,0.9925501553335245
243,1.0094812043383523
244,1.0087854078039074
245,1.0028406198692634
246,0.9903345926843709
247,1.0037561416251122
248,0.9787929150823054
249,1.0092065478115977
250,1.0091272025927576
251,1.0076196434347935
252,1.007064226902912
253,1.0033716224876557
254,0.9943628884101049
255,1.0080713008343454
256,1.0075158843024639
257,1.0070398129894227
258,1.0069299503787208
259,1.0048181468618966
260,1.0093408243357889
261,1.0091699269413639
262,1.0081689564883027
263,1.007650160826655
264,0.9986109093572427
265,1.0081994738801643
266,1.0096337912976605
267,1.008065197355973
268,0.9763026959063971
269,0.9718410532162279
270,1.0087243730201843
271,1.0021631337699355
272,1.0091149956360128
273,0.998842841535391
274,0.995699550173644
275,0.9904932831220513
276,0.9364103612648849
277,0.9936731953540323
278,1.0089868225901941
279,1.01
280,1.0098596199974366
281,1.0096521017327775
282,1.009755860865107
283,1.007082537338029
284,0.9970301084588107
285,1.0098352060839473
286,1.009682619124639
287,1.0004175389554506
288,1.0096398947760328
289,0.9725124358371836
